Week_Starting,Campaign_Name,Channel,Budget,Impressions,Clicks,Click_Through_Rate,Leads_Generated,New_Customers,Conversion_Rate,Revenue_Generated,Customer_Acquisition_Cost,Return_on_Ad_Spend,Cost_Per_Click,Lead_Quality_Score,Engagement_Score
2023-07-09,Email Campaign,Partnerships,3086,30860,1208,3.914,200,22,1.821,163724,140.27,53.05,2.55,7.6,68.5
2023-07-09,Content Marketing,Email Marketing,4566,45660,2032,4.45,291,48,2.362,318528,95.12,69.76,2.25,6.7,74.3
2023-07-09,Webinar Series,Social Media,10486,83888,1930,2.301,307,69,3.575,243087,151.97,23.18,5.43,9.2,79.2
2023-07-09,Trade Show,Partnerships,8408,117712,1740,1.478,273,68,3.908,470492,123.65,55.96,4.83,8.2,88.1
2023-07-09,Partner Referral,Organic,14102,112816,3356,2.975,430,79,2.354,621177,178.51,44.05,4.2,6.6,68.2
2023-07-09,SEO Organic,Events,2802,42030,473,1.125,68,11,2.326,56144,254.73,20.04,5.92,8.0,92.2
2023-07-09,YouTube Ads,Content Marketing,11901,166614,3327,1.997,371,93,2.795,703824,127.97,59.14,3.58,7.2,67.3
2023-07-09,Retargeting,Email Marketing,8130,89430,1930,2.158,143,40,2.073,115840,203.25,14.25,4.21,8.9,84.0
2023-07-09,Influencer Marketing,Email Marketing,12170,146040,6551,4.486,1117,153,2.336,946305,79.54,77.76,1.86,9.2,81.2
2023-07-16,Google Ads - Enterprise,Content Marketing,16750,234500,9918,4.229,1829,299,3.015,1729715,56.02,103.27,1.69,6.8,71.8
2023-07-16,Facebook - SMB,Social Media,23510,235100,6367,2.708,1099,299,4.696,857532,78.63,36.48,3.69,6.5,80.3
2023-07-16,LinkedIn - B2B,Content Marketing,9341,112092,2992,2.669,249,30,1.003,175980,311.37,18.84,3.12,7.5,93.3
2023-07-16,Email Campaign,Email Marketing,1600,17600,403,2.29,51,12,2.978,94620,133.33,59.14,3.97,7.6,94.2
2023-07-16,Content Marketing,Partnerships,14463,159093,7715,4.849,677,135,1.75,1058130,107.13,73.16,1.87,7.4,73.5
2023-07-16,Webinar Series,Social Media,4899,58788,674,1.146,95,19,2.819,122740,257.84,25.05,7.27,6.7,73.4
2023-07-16,Trade Show,Email Marketing,6039,54351,2518,4.633,216,27,1.072,113589,223.67,18.81,2.4,8.0,94.6
2023-07-16,Partner Referral,Content Marketing,12900,154800,3046,1.968,459,115,3.775,507610,112.17,39.35,4.24,7.2,86.8
2023-07-16,SEO Organic,Digital Advertising,2761,27610,682,2.47,98,22,3.226,145882,125.5,52.84,4.05,8.1,67.7
2023-07-16,YouTube Ads,Partnerships,5872,76336,3313,4.34,325,44,1.328,320056,133.45,54.51,1.77,6.6,82.7
2023-07-16,Retargeting,Partnerships,2601,33813,1254,3.709,65,13,1.037,68120,200.08,26.19,2.07,7.2,84.4
2023-07-16,Influencer Marketing,Digital Advertising,3077,30770,522,1.696,80,14,2.682,111300,219.79,36.17,5.89,9.3,69.1
2023-07-23,Google Ads - Enterprise,Events,13268,132680,3136,2.364,210,59,1.881,251871,224.88,18.98,4.23,9.1,72.7
2023-07-23,Facebook - SMB,Content Marketing,6424,57816,2104,3.639,363,76,3.612,393452,84.53,61.25,3.05,8.1,72.3
2023-07-23,LinkedIn - B2B,Events,5883,52947,726,1.371,134,37,5.096,249306,159.0,42.38,8.1,8.4,75.2
2023-07-23,Email Campaign,Partnerships,3125,25000,599,2.396,95,26,4.341,63544,120.19,20.33,5.22,9.2,88.4
2023-07-23,Content Marketing,Organic,9657,77256,2756,3.567,172,22,0.798,77374,438.95,8.01,3.5,9.2,83.2
2023-07-23,Webinar Series,Events,11142,144846,1501,1.036,97,22,1.466,66044,506.45,5.93,7.42,6.5,69.8
2023-07-23,Trade Show,Digital Advertising,10280,133640,4269,3.194,656,151,3.537,423706,68.08,41.22,2.41,7.2,86.4
2023-07-23,Partner Referral,Email Marketing,2004,26052,507,1.946,50,12,2.367,41412,167.0,20.66,3.95,8.4,90.5
2023-07-23,SEO Organic,Content Marketing,3849,53886,1956,3.63,264,31,1.585,140957,124.16,36.62,1.97,7.6,73.0
2023-07-23,YouTube Ads,Social Media,7844,78440,1549,1.975,303,54,3.486,219618,145.26,28.0,5.06,9.2,83.9
2023-07-23,Retargeting,Social Media,9352,102872,4299,4.179,539,116,2.698,522116,80.62,55.83,2.18,8.0,70.9
2023-07-23,Influencer Marketing,Partnerships,12358,173012,6729,3.889,619,64,0.951,492736,193.09,39.87,1.84,8.4,70.3
2023-07-30,Google Ads - Enterprise,Events,23960,191680,9127,4.762,1762,498,5.456,2098074,48.11,87.57,2.63,7.6,65.5
2023-07-30,Facebook - SMB,Events,24195,193560,9123,4.713,1042,305,3.343,681065,79.33,28.15,2.65,9.4,90.6
2023-07-30,LinkedIn - B2B,Email Marketing,14910,149100,3247,2.178,349,94,2.895,302304,158.62,20.28,4.59,7.5,70.1
2023-07-30,Email Campaign,Content Marketing,2682,37548,1211,3.225,230,55,4.542,310695,48.76,115.84,2.21,8.2,67.9
2023-07-30,Content Marketing,Social Media,5952,71424,2471,3.46,490,62,2.509,366606,96.0,61.59,2.41,8.1,91.3
2023-07-30,Webinar Series,Content Marketing,4094,32752,1297,3.96,200,48,3.701,115872,85.29,28.3,3.16,7.6,73.8
2023-07-30,Trade Show,Social Media,4876,39008,1652,4.235,283,77,4.661,410487,63.32,84.19,2.95,9.2,80.3
2023-07-30,Partner Referral,Digital Advertising,5574,78036,2345,3.005,398,91,3.881,597961,61.25,107.28,2.38,8.6,88.9
2023-07-30,SEO Organic,Social Media,2977,23816,1086,4.56,109,19,1.75,146129,156.68,49.09,2.74,6.8,82.3
2023-07-30,YouTube Ads,Social Media,8562,111306,1273,1.144,152,31,2.435,69254,276.19,8.09,6.73,7.4,82.7
2023-07-30,Retargeting,Partnerships,5097,76455,857,1.121,47,12,1.4,65544,424.75,12.86,5.95,7.6,68.8
2023-07-30,Influencer Marketing,Digital Advertising,6498,97470,3010,3.088,498,71,2.359,395186,91.52,60.82,2.16,8.4,67.6
2023-08-06,Google Ads - Enterprise,Organic,20300,182700,2204,1.206,285,59,2.677,400728,344.07,19.74,9.21,8.4,86.8
2023-08-06,Facebook - SMB,Content Marketing,20497,266461,13065,4.903,1665,274,2.097,1905122,74.81,92.95,1.57,8.9,73.1
2023-08-06,LinkedIn - B2B,Email Marketing,5292,42336,1166,2.754,72,7,0.6,49581,756.0,9.37,4.54,9.4,90.1
2023-08-06,Email Campaign,Content Marketing,4197,54561,2064,3.783,229,30,1.453,94770,139.9,22.58,2.03,7.0,72.5
2023-08-06,Content Marketing,Organic,12633,189495,6057,3.196,952,220,3.632,1243000,57.42,98.39,2.09,7.3,93.6
2023-08-06,Webinar Series,Digital Advertising,5302,79530,3142,3.951,418,92,2.928,611524,57.63,115.34,1.69,7.8,72.4
2023-08-06,Trade Show,Partnerships,2614,20912,506,2.42,82,8,1.581,21112,326.75,8.08,5.17,6.8,66.4
2023-08-06,Partner Referral,Email Marketing,13341,186774,2172,1.163,387,93,4.282,192603,143.45,14.44,6.14,7.9,67.9
2023-08-06,SEO Organic,Organic,2549,28039,831,2.964,100,13,1.564,66326,196.08,26.02,3.07,7.8,77.0
2023-08-06,YouTube Ads,Email Marketing,14614,189982,6579,3.463,955,104,1.581,365664,140.52,25.02,2.22,7.6,83.8
2023-08-06,Retargeting,Content Marketing,12571,100568,3029,3.012,540,125,4.127,282750,100.57,22.49,4.15,7.0,67.1
2023-08-06,Influencer Marketing,Organic,13966,181558,6481,3.57,349,75,1.157,454050,186.21,32.51,2.15,9.3,82.3
2023-08-13,Google Ads - Enterprise,Events,12841,154092,3933,2.552,576,110,2.797,389180,116.74,30.31,3.26,8.1,93.2
2023-08-13,Facebook - SMB,Email Marketing,19562,293430,7466,2.544,1449,407,5.451,2512411,48.06,128.43,2.62,7.1,67.1
2023-08-13,LinkedIn - B2B,Social Media,13259,159108,2232,1.403,117,13,0.582,98150,1019.92,7.4,5.94,8.5,67.1
2023-08-13,Email Campaign,Email Marketing,1555,13995,318,2.272,56,5,1.572,37975,311.0,24.42,4.89,8.9,73.5
2023-08-13,Content Marketing,Partnerships,9330,139950,2060,1.472,318,71,3.447,314459,131.41,33.7,4.53,9.1,87.1
2023-08-13,Webinar Series,Content Marketing,5534,83010,3497,4.213,322,43,1.23,254044,128.7,45.91,1.58,8.8,89.2
2023-08-13,Trade Show,Events,14719,161909,8033,4.961,898,156,1.942,911040,94.35,61.9,1.83,8.8,75.2
2023-08-13,Partner Referral,Email Marketing,7839,117585,5553,4.723,992,184,3.314,519432,42.6,66.26,1.41,8.8,87.6
2023-08-13,SEO Organic,Email Marketing,3643,43716,617,1.411,114,22,3.566,55792,165.59,15.31,5.9,9.0,74.6
2023-08-13,YouTube Ads,Content Marketing,2958,26622,1219,4.579,132,13,1.066,83356,227.54,28.18,2.43,9.2,67.7
2023-08-13,Retargeting,Email Marketing,6002,84028,1913,2.277,368,106,5.541,762034,56.62,126.96,3.14,8.2,84.0
2023-08-13,Influencer Marketing,Partnerships,3036,45540,1272,2.793,119,19,1.494,112822,159.79,37.16,2.39,8.5,87.6
2023-08-20,Google Ads - Enterprise,Social Media,20533,287462,11976,4.166,2017,238,1.987,1565326,86.27,76.23,1.71,8.0,66.7
2023-08-20,Facebook - SMB,Content Marketing,8790,131850,4216,3.198,490,135,3.202,832275,65.11,94.68,2.08,7.6,68.5
2023-08-20,LinkedIn - B2B,Email Marketing,6779,67790,1065,1.571,174,38,3.568,207024,178.39,30.54,6.37,6.8,67.5
2023-08-20,Email Campaign,Organic,1068,12816,487,3.8,29,7,1.437,19320,152.57,18.09,2.19,8.6,67.4
2023-08-20,Content Marketing,Email Marketing,8452,109876,1471,1.339,291,50,3.399,382550,169.04,45.26,5.75,7.6,89.4
2023-08-20,Webinar Series,Digital Advertising,2300,34500,1652,4.788,326,81,4.903,639657,28.4,278.11,1.39,7.6,67.5
2023-08-20,Trade Show,Events,12236,171304,7038,4.108,941,173,2.458,1190759,70.73,97.32,1.74,9.2,68.3
2023-08-20,Partner Referral,Digital Advertising,14891,119128,3538,2.97,182,35,0.989,219205,425.46,14.72,4.21,6.7,68.6
2023-08-20,SEO Organic,Email Marketing,2855,25695,377,1.467,55,13,3.448,93899,219.62,32.89,7.57,8.3,93.9
2023-08-20,YouTube Ads,Partnerships,3310,29790,744,2.497,69,18,2.419,114516,183.89,34.6,4.45,7.2,93.9
2023-08-20,Retargeting,Digital Advertising,6263,56367,591,1.048,115,12,2.03,68436,521.92,10.93,10.6,9.2,80.8
2023-08-20,Influencer Marketing,Events,2430,29160,1449,4.969,88,18,1.242,49824,135.0,20.5,1.68,9.4,80.7
2023-08-27,Google Ads - Enterprise,Organic,19442,174978,6155,3.518,950,181,2.941,591689,107.41,30.43,3.16,8.4,82.5
2023-08-27,Facebook - SMB,Digital Advertising,7260,94380,4345,4.604,246,38,0.875,272042,191.05,37.47,1.67,9.4,91.7
2023-08-27,LinkedIn - B2B,Content Marketing,7897,110558,3120,2.822,446,69,2.212,466509,114.45,59.07,2.53,7.1,78.9
2023-08-27,Email Campaign,Organic,3237,32370,781,2.413,107,12,1.536,55020,269.75,17.0,4.14,9.4,94.6
2023-08-27,Content Marketing,Social Media,6699,66990,2540,3.792,331,53,2.087,390716,126.4,58.32,2.64,8.9,85.5
2023-08-27,Webinar Series,Email Marketing,13533,121797,2010,1.65,375,99,4.925,359865,136.7,26.59,6.73,9.3,86.8
2023-08-27,Trade Show,Organic,12065,144780,5000,3.454,563,161,3.22,406847,74.94,33.72,2.41,9.1,66.4
2023-08-27,Partner Referral,Partnerships,13985,111880,1236,1.105,131,34,2.751,228786,411.32,16.36,11.31,9.5,69.5
2023-08-27,SEO Organic,Events,1759,19349,653,3.375,69,20,3.063,152100,87.95,86.47,2.69,9.0,90.1
2023-08-27,YouTube Ads,Content Marketing,3218,28962,832,2.873,93,14,1.683,95970,229.86,29.82,3.87,6.7,90.9
2023-08-27,Retargeting,Digital Advertising,11846,118460,5036,4.251,1006,301,5.977,611632,39.36,51.63,2.35,8.2,88.1
2023-08-27,Influencer Marketing,Email Marketing,13493,202395,9672,4.779,1716,256,2.647,1233408,52.71,91.41,1.4,7.9,68.9
2023-09-03,Google Ads - Enterprise,Events,22177,243947,11748,4.816,1655,241,2.051,831450,92.02,37.49,1.89,8.5,83.5
2023-09-03,Facebook - SMB,Events,8211,73899,1797,2.432,120,28,1.558,216216,293.25,26.33,4.57,8.1,88.2
2023-09-03,LinkedIn - B2B,Digital Advertising,5248,68224,2101,3.08,373,78,3.713,568464,67.28,108.32,2.5,8.2,91.3
2023-09-03,Email Campaign,Social Media,1955,25415,664,2.613,46,4,0.602,21916,488.75,11.21,2.94,8.8,83.6
2023-09-03,Content Marketing,Events,2876,34512,1317,3.816,107,13,0.987,62322,221.23,21.67,2.18,6.5,75.5
2023-09-03,Webinar Series,Organic,9444,132216,4442,3.36,483,90,2.026,252360,104.93,26.72,2.13,9.2,75.4
2023-09-03,Trade Show,Events,10848,130176,3978,3.056,666,119,2.991,506464,91.16,46.69,2.73,8.4,90.9
2023-09-03,Partner Referral,Content Marketing,13163,184282,8842,4.798,637,181,2.047,867533,72.72,65.91,1.49,8.0,72.7
2023-09-03,SEO Organic,Events,1741,24374,691,2.835,136,26,3.763,149526,66.96,85.89,2.52,7.5,84.0
2023-09-03,YouTube Ads,Email Marketing,5938,89070,1746,1.96,107,13,0.745,33332,456.77,5.61,3.4,6.9,69.6
2023-09-03,Retargeting,Social Media,11649,116490,1811,1.555,264,36,1.988,160380,323.58,13.77,6.43,7.5,91.9
2023-09-03,Influencer Marketing,Content Marketing,6814,74954,2170,2.895,325,43,1.982,157079,158.47,23.05,3.14,7.1,66.2
2023-09-10,Google Ads - Enterprise,Partnerships,11547,103923,1741,1.675,159,21,1.206,61110,549.86,5.29,6.63,6.8,68.6
2023-09-10,Facebook - SMB,Email Marketing,15731,204503,5814,2.843,470,81,1.393,401760,194.21,25.54,2.71,8.0,85.7
2023-09-10,LinkedIn - B2B,Organic,3384,30456,352,1.156,59,13,3.693,88959,260.31,26.29,9.61,6.7,91.2
2023-09-10,Email Campaign,Social Media,4851,43659,2044,4.682,120,18,0.881,141570,269.5,29.18,2.37,8.9,87.4
2023-09-10,Content Marketing,Email Marketing,11727,117270,2038,1.738,165,28,1.374,157948,418.82,13.47,5.75,8.0,83.5
2023-09-10,Webinar Series,Events,10843,86744,2147,2.475,256,63,2.934,434826,172.11,40.1,5.05,6.6,72.6
2023-09-10,Trade Show,Partnerships,7094,70940,2733,3.853,503,101,3.696,361984,70.24,51.03,2.6,8.1,68.2
2023-09-10,Partner Referral,Digital Advertising,8458,101496,2831,2.789,367,54,1.907,205362,156.63,24.28,2.99,7.3,76.3
2023-09-10,SEO Organic,Organic,4635,41715,450,1.079,44,6,1.333,25224,772.5,5.44,10.3,7.5,68.6
2023-09-10,YouTube Ads,Partnerships,8644,86440,3943,4.562,548,129,3.272,276705,67.01,32.01,2.19,8.9,80.0
2023-09-10,Retargeting,Email Marketing,4150,62250,838,1.346,109,23,2.745,116978,180.43,28.19,4.95,8.7,77.9
2023-09-10,Influencer Marketing,Partnerships,7226,79486,1200,1.51,111,19,1.583,41610,380.32,5.76,6.02,8.4,82.1
2023-09-17,Google Ads - Enterprise,Digital Advertising,16430,246450,5974,2.424,1182,261,4.369,950301,62.95,57.84,2.75,7.2,68.1
2023-09-17,Facebook - SMB,Social Media,11049,132588,2136,1.611,185,24,1.124,102624,460.38,9.29,5.17,7.1,73.6
2023-09-17,LinkedIn - B2B,Content Marketing,3321,36531,618,1.692,114,13,2.104,74061,255.46,22.3,5.37,8.1,77.3
2023-09-17,Email Campaign,Email Marketing,1582,22148,1091,4.926,72,12,1.1,65508,131.83,41.41,1.45,9.4,91.0
2023-09-17,Content Marketing,Social Media,2921,35052,1496,4.268,132,17,1.136,74664,171.82,25.56,1.95,8.5,92.9
2023-09-17,Webinar Series,Content Marketing,10201,153015,4937,3.226,670,104,2.107,637832,98.09,62.53,2.07,8.8,70.6
2023-09-17,Trade Show,Partnerships,14451,216765,4974,2.295,566,114,2.292,813618,126.76,56.3,2.91,7.2,68.4
2023-09-17,Partner Referral,Organic,2934,44010,1515,3.442,141,30,1.98,171450,97.8,58.44,1.94,7.0,79.4
2023-09-17,SEO Organic,Organic,4684,56208,1759,3.129,101,16,0.91,40560,292.75,8.66,2.66,6.9,66.9
2023-09-17,YouTube Ads,Social Media,3522,38742,1921,4.958,188,49,2.551,291158,71.88,82.67,1.83,7.3,85.4
2023-09-17,Retargeting,Digital Advertising,10477,115247,4657,4.041,648,125,2.684,530500,83.82,50.63,2.25,7.7,75.5
2023-09-17,Influencer Marketing,Email Marketing,5608,84120,3968,4.717,692,202,5.091,529038,27.76,94.34,1.41,6.9,86.9
2023-09-24,Google Ads - Enterprise,Content Marketing,5541,83115,3950,4.752,304,34,0.861,212398,162.97,38.33,1.4,8.7,82.2
2023-09-24,Facebook - SMB,Partnerships,12510,187650,8195,4.367,581,150,1.83,472650,83.4,37.78,1.53,7.1,69.9
2023-09-24,LinkedIn - B2B,Events,6888,68880,1141,1.657,196,45,3.944,252810,153.07,36.7,6.04,8.1,75.8
2023-09-24,Email Campaign,Organic,2449,19592,883,4.507,96,25,2.831,156000,97.96,63.7,2.77,7.8,76.3
2023-09-24,Content Marketing,Partnerships,3507,35070,999,2.849,95,23,2.302,70610,152.48,20.13,3.51,8.0,72.0
2023-09-24,Webinar Series,Email Marketing,4207,58898,2708,4.598,291,60,2.216,219600,70.12,52.2,1.55,9.2,83.7
2023-09-24,Trade Show,Content Marketing,9403,94030,1379,1.467,263,59,4.278,309042,159.37,32.87,6.82,7.5,69.2
2023-09-24,Partner Referral,Events,10423,114653,4788,4.176,684,141,2.945,508869,73.92,48.82,2.18,9.2,88.7
2023-09-24,SEO Organic,Social Media,3853,57795,928,1.606,89,13,1.401,66781,296.38,17.33,4.15,8.7,66.0
2023-09-24,YouTube Ads,Email Marketing,7960,111440,3654,3.279,600,165,4.516,485760,48.24,61.03,2.18,7.5,89.6
2023-09-24,Retargeting,Digital Advertising,3067,39871,575,1.442,101,12,2.087,38784,255.58,12.65,5.33,7.7,88.9
2023-09-24,Influencer Marketing,Email Marketing,9308,74464,1191,1.599,100,24,2.015,175152,387.83,18.82,7.82,8.7,84.2
2023-10-01,Google Ads - Enterprise,Organic,13094,117846,4449,3.775,584,87,1.955,194532,150.51,14.86,2.94,7.5,70.4
2023-10-01,Facebook - SMB,Social Media,21961,175688,8141,4.634,1119,201,2.469,1584081,109.26,72.13,2.7,7.9,93.4
2023-10-01,LinkedIn - B2B,Digital Advertising,13588,108704,1753,1.613,241,48,2.738,378096,283.08,27.83,7.75,8.3,65.5
2023-10-01,Email Campaign,Events,2613,28743,1290,4.488,244,51,3.953,195432,51.24,74.79,2.03,8.6,92.7
2023-10-01,Content Marketing,Content Marketing,13673,177749,6805,3.828,495,106,1.558,617556,128.99,45.17,2.01,8.3,77.7
2023-10-01,Webinar Series,Content Marketing,13149,105192,4150,3.945,789,224,5.398,1181152,58.7,89.83,3.17,7.9,68.4
2023-10-01,Trade Show,Organic,11425,171375,8464,4.939,1488,185,2.186,425870,61.76,37.28,1.35,9.3,91.1
2023-10-01,Partner Referral,Partnerships,3261,26088,802,3.074,111,19,2.369,96501,171.63,29.59,4.07,6.7,75.1
2023-10-01,SEO Organic,Digital Advertising,4970,59640,2511,4.21,127,21,0.836,122892,236.67,24.73,1.98,7.7,81.1
2023-10-01,YouTube Ads,Email Marketing,9436,84924,3973,4.678,405,68,1.712,498168,138.76,52.79,2.38,8.7,78.6
2023-10-01,Retargeting,Content Marketing,3706,29648,562,1.896,66,8,1.423,57544,463.25,15.53,6.59,7.0,80.0
2023-10-01,Influencer Marketing,Digital Advertising,7647,68823,1841,2.675,344,59,3.205,163725,129.61,21.41,4.15,8.2,84.0
2023-10-08,Google Ads - Enterprise,Social Media,16082,160820,1692,1.052,253,34,2.009,70652,473.0,4.39,9.5,9.4,69.5
2023-10-08,Facebook - SMB,Content Marketing,15369,169059,4494,2.658,282,84,1.869,189924,182.96,12.36,3.42,8.0,82.9
2023-10-08,LinkedIn - B2B,Content Marketing,4215,33720,427,1.266,69,9,2.108,63207,468.33,15.0,9.87,9.2,71.2
2023-10-08,Email Campaign,Digital Advertising,4694,51634,910,1.762,50,9,0.989,30951,521.56,6.59,5.16,8.2,67.0
2023-10-08,Content Marketing,Content Marketing,3850,34650,1421,4.101,167,34,2.393,185096,113.24,48.08,2.71,7.8,77.0
2023-10-08,Webinar Series,Social Media,2236,24596,796,3.236,58,7,0.879,32375,319.43,14.48,2.81,9.1,93.4
2023-10-08,Trade Show,Email Marketing,7271,58168,1450,2.493,131,29,2.0,177596,250.72,24.43,5.01,7.7,65.8
2023-10-08,Partner Referral,Social Media,5274,79110,1285,1.624,202,46,3.58,250838,114.65,47.56,4.1,6.6,71.7
2023-10-08,SEO Organic,Social Media,2747,41205,792,1.922,119,12,1.515,64104,228.92,23.34,3.47,6.8,89.0
2023-10-08,YouTube Ads,Content Marketing,2470,19760,338,1.711,49,7,2.071,23898,352.86,9.68,7.31,6.8,72.3
2023-10-08,Retargeting,Email Marketing,14278,142780,5552,3.888,990,263,4.737,1309740,54.29,91.73,2.57,7.7,85.0
2023-10-08,Influencer Marketing,Digital Advertising,4135,49620,903,1.82,84,23,2.547,152306,179.78,36.83,4.58,6.5,67.6
2023-10-15,Google Ads - Enterprise,Digital Advertising,16681,216853,3971,1.831,214,29,0.73,167968,575.21,10.07,4.2,8.2,77.6
2023-10-15,Facebook - SMB,Organic,8018,80180,3664,4.57,632,106,2.893,215604,75.64,26.89,2.19,7.3,76.4
2023-10-15,LinkedIn - B2B,Partnerships,11138,100242,3369,3.361,303,68,2.018,402764,163.79,36.16,3.31,7.7,81.6
2023-10-15,Email Campaign,Partnerships,2922,26298,721,2.742,67,19,2.635,147839,153.79,50.6,4.05,8.8,69.2
2023-10-15,Content Marketing,Social Media,14482,159302,7126,4.473,877,244,3.424,1789252,59.35,123.55,2.03,8.9,77.8
2023-10-15,Webinar Series,Partnerships,13641,204615,2230,1.09,201,41,1.839,100450,332.71,7.36,6.12,8.4,72.7
2023-10-15,Trade Show,Partnerships,2388,21492,334,1.554,58,17,5.09,89063,140.47,37.3,7.15,8.1,70.2
2023-10-15,Partner Referral,Organic,7811,109354,2284,2.089,120,33,1.445,171105,236.7,21.91,3.42,6.9,82.3
2023-10-15,SEO Organic,Partnerships,3214,32140,673,2.094,89,20,2.972,83900,160.7,26.1,4.78,9.0,71.2
2023-10-15,YouTube Ads,Content Marketing,13827,165924,1732,1.044,122,34,1.963,226678,406.68,16.39,7.98,9.1,82.9
2023-10-15,Retargeting,Digital Advertising,12596,151152,5142,3.402,770,104,2.023,800488,121.12,63.55,2.45,9.2,77.6
2023-10-15,Influencer Marketing,Digital Advertising,7062,105930,2682,2.532,342,37,1.38,275280,190.86,38.98,2.63,7.0,87.1
2023-10-22,Google Ads - Enterprise,Events,8891,133365,1775,1.331,249,37,2.085,203611,240.3,22.9,5.01,7.7,73.7
2023-10-22,Facebook - SMB,Email Marketing,9084,127176,3081,2.423,486,77,2.499,301840,117.97,33.23,2.95,8.2,79.3
2023-10-22,LinkedIn - B2B,Content Marketing,3061,42854,1566,3.654,298,73,4.662,228855,41.93,74.76,1.95,7.1,65.9
2023-10-22,Email Campaign,Events,4750,38000,778,2.047,108,11,1.414,74822,431.82,15.75,6.11,8.0,82.9
2023-10-22,Content Marketing,Partnerships,12899,193485,4521,2.337,748,90,1.991,521100,143.32,40.4,2.85,6.7,86.8
2023-10-22,Webinar Series,Content Marketing,12760,102080,3043,2.981,466,87,2.859,391848,146.67,30.71,4.19,7.2,89.6
2023-10-22,Trade Show,Social Media,7171,107565,4515,4.197,696,107,2.37,430782,67.02,60.07,1.59,8.3,75.8
2023-10-22,Partner Referral,Digital Advertising,7353,95589,1306,1.366,245,31,2.374,142817,237.19,19.42,5.63,9.4,78.4
2023-10-22,SEO Organic,Content Marketing,2827,36751,639,1.739,83,22,3.443,125334,128.5,44.33,4.42,8.7,89.2
2023-10-22,YouTube Ads,Digital Advertising,10036,90324,3283,3.635,505,136,4.143,831504,73.79,82.85,3.06,7.2,79.7
2023-10-22,Retargeting,Events,3389,44057,830,1.884,164,47,5.663,306017,72.11,90.3,4.08,6.6,86.2
2023-10-22,Influencer Marketing,Social Media,3342,26736,1256,4.698,96,20,1.592,40900,167.1,12.24,2.66,9.2,66.0
2023-10-29,Google Ads - Enterprise,Partnerships,5496,71448,2707,3.789,256,72,2.66,227880,76.33,41.46,2.03,9.4,93.3
2023-10-29,Facebook - SMB,Organic,11400,148200,4293,2.897,769,206,4.799,683096,55.34,59.92,2.66,7.5,89.9
2023-10-29,LinkedIn - B2B,Social Media,13963,153593,1763,1.148,245,35,1.985,168875,398.94,12.09,7.92,6.9,67.3
2023-10-29,Email Campaign,Organic,3318,33180,1255,3.782,126,30,2.39,81090,110.6,24.44,2.64,6.7,74.5
2023-10-29,Content Marketing,Email Marketing,13146,118314,3736,3.158,629,102,2.73,254082,128.88,19.33,3.52,8.4,91.6
2023-10-29,Webinar Series,Email Marketing,8512,68096,2358,3.463,200,20,0.848,99640,425.6,11.71,3.61,9.1,65.6
2023-10-29,Trade Show,Email Marketing,3558,32022,1440,4.497,186,53,3.681,325367,67.13,91.45,2.47,8.9,94.9
